concept id	name	element file id
FMA20394	human body	FJ3257
FMA20394	human body	FJ3256
FMA20394	human body	FJ3259
FMA20394	human body	FJ3258
FMA20394	human body	FJ3253
FMA20394	human body	FJ3252
FMA20394	human body	FJ3255
FMA20394	human body	FJ3254
FMA20394	human body	FJ3271
FMA20394	human body	FJ3270
FMA20394	human body	FJ3273
FMA20394	human body	FJ3272
FMA20394	human body	FJ1659M
FMA20394	human body	FJ1526M
FMA20394	human body	FJ3268
FMA20394	human body	FJ3267
FMA20394	human body	FJ3269
FMA20394	human body	FJ3264
FMA20394	human body	FJ3263
FMA20394	human body	FJ3266
FMA20394	human body	FJ3265
FMA20394	human body	FJ3282
FMA20394	human body	FJ3281
FMA20394	human body	FJ3284
FMA20394	human body	FJ3283
FMA20394	human body	FMA49006
FMA20394	human body	FJ3280
FMA20394	human body	FJ1527M
FMA20394	human body	FMA49007
FMA20394	human body	FMA49008
FMA20394	human body	FJ3279
FMA20394	human body	FJ3278
FMA20394	human body	FJ1528M
FMA20394	human body	FJ3275
FMA20394	human body	FJ3274
FMA20394	human body	FJ3277
FMA20394	human body	FJ3276
FMA20394	human body	FJ3293
FMA20394	human body	FJ3292
FMA20394	human body	FJ3295
FMA20394	human body	FJ3294
FMA20394	human body	FJ3291
FMA20394	human body	FJ3290
FMA20394	human body	FJ3289
FMA20394	human body	FJ3286
FMA20394	human body	FJ3285
FMA20394	human body	FJ3288
FMA20394	human body	FJ3287
FMA20394	human body	FJ1280
FMA20394	human body	FJ1282
FMA20394	human body	FJ3460
FMA20394	human body	FJ1281
FMA20394	human body	FJ3459
FMA20394	human body	FJ2128
FMA20394	human body	FJ3458
FMA20394	human body	FJ2127
FMA20394	human body	FJ2129
FMA20394	human body	FJ1277
FMA20394	human body	FJ2124
FMA20394	human body	FJ1276
FMA20394	human body	FJ1279
FMA20394	human body	FJ1278
FMA20394	human body	FJ2125
FMA20394	human body	FJ1273
FMA20394	human body	FJ3451
FMA20394	human body	FJ2120
FMA20394	human body	FJ1272
FMA20394	human body	FJ3450
FMA20394	human body	FJ1275
FMA20394	human body	FJ2122
FMA20394	human body	FJ1274
FMA20394	human body	FJ3452
FMA20394	human body	FJ2121
FMA20394	human body	FJ1291
FMA20394	human body	FJ1290
FMA20394	human body	FJ1293
FMA20394	human body	FJ3471
FMA20394	human body	FJ1292
FMA20394	human body	FJ3470
FMA20394	human body	FJ1700M
FMA20394	human body	FJ3469
FMA20394	human body	FJ2138
FMA20394	human body	FJ1288
FMA20394	human body	FJ3466
FMA20394	human body	FJ2135
FMA20394	human body	FJ1287
FMA20394	human body	FJ3465
FMA20394	human body	FJ3468
FMA20394	human body	FJ2137
FMA20394	human body	FJ1289
FMA20394	human body	FJ3467
FMA20394	human body	FJ2136
FMA20394	human body	FJ1284
FMA20394	human body	FJ2131
FMA20394	human body	FJ3462
FMA20394	human body	FJ1283
FMA20394	human body	FJ2130
FMA20394	human body	FJ3461
FMA20394	human body	FJ1286
FMA20394	human body	FJ2133
FMA20394	human body	FJ3464
FMA20394	human body	FJ1285
FMA20394	human body	FJ3463
FMA20394	human body	FJ2132
FMA20394	human body	FJ3480
FMA20394	human body	FJ3482
FMA20394	human body	FJ2151
FMA20394	human body	FJ3481
FMA20394	human body	FJ2150
FMA20394	human body	FJ1701M
FMA20394	human body	FJ1299
FMA20394	human body	FJ3477
FMA20394	human body	FJ1298
FMA20394	human body	FJ3476
FMA20394	human body	FJ2145
FMA20394	human body	FJ3479
FMA20394	human body	FJ3478
FMA20394	human body	FJ1295
FMA20394	human body	FJ3473
FMA20394	human body	FJ1294
FMA20394	human body	FJ3472
FMA20394	human body	FJ2141
FMA20394	human body	FJ1297
FMA20394	human body	FJ3475
FMA20394	human body	FJ2144
FMA20394	human body	FJ1296
FMA20394	human body	FJ2143
FMA20394	human body	FJ3474
FMA20394	human body	FJ2160
FMA20394	human body	FJ2162
FMA20394	human body	FJ3493
FMA20394	human body	FJ1702M
FMA20394	human body	FJ3008
FMA20394	human body	FJ1390M
FMA20394	human body	FJ3007
FMA20394	human body	FJ3009
FMA20394	human body	FJ3004
FMA20394	human body	FJ3003
FMA20394	human body	FJ2159
FMA20394	human body	FJ3006
FMA20394	human body	FJ3005
FMA20394	human body	FJ2158
FMA20394	human body	FJ3000
FMA20394	human body	FJ3484
FMA20394	human body	FJ2153
FMA20394	human body	FJ3483
FMA20394	human body	FJ2152
FMA20394	human body	FJ3486
FMA20394	human body	FJ3002
FMA20394	human body	FJ3485
FMA20394	human body	FJ3001
FMA20394	human body	FJ1703M
FMA20394	human body	FJ1391M
FMA20394	human body	FJ3419
