concept id	name	element file id.obj
newnode1112771	right arteria radialis indicis	FJ2342.obj
newnode1112771	right arteria radialis indicis	FJ2363.obj
FMA22839	right deep palmar arch	FJ2279.obj
newnode4076434	right palmar metacarpal artery	FJ2289.obj
newnode4318741	right superficial palmar arterial arch	FJ2370.obj
newnode4318741	right superficial palmar arterial arch	FJ2369.obj
newnode4318741	right superficial palmar arterial arch	FJ2300.obj
newnode4318741	right superficial palmar arterial arch	FJ2344.obj
newnode4318741	right superficial palmar arterial arch	FJ2366.obj
newnode4318741	right superficial palmar arterial arch	FJ2343.obj
newnode4318741	right superficial palmar arterial arch	FJ2365.obj
newnode4318741	right superficial palmar arterial arch	FJ2368.obj
newnode4318741	right superficial palmar arterial arch	FJ2345.obj
newnode4318741	right superficial palmar arterial arch	FJ2367.obj
newnode4318741	right superficial palmar arterial arch	FJ2364.obj
FMA22764	right radial recurrent artery	FJ2295.obj
newnode6827168	right arteria princeps pollicis	FJ2371.obj
newnode6827168	right arteria princeps pollicis	FJ2372.obj
FMA22772	dorsal carpal branch of right radial artery	FJ2283.obj
FMA22682	right anterior circumflex humeral artery	FJ2264.obj
FMA22685	right posterior circumflex humeral artery	FJ2292.obj
FMA22685	right posterior circumflex humeral artery	FJ2291.obj
FMA22797	right ulnar artery	FJ2310.obj
FMA22821	right dorsal carpal branch of ulnar artery	FJ2288.obj
FMA22801	right anterior ulnar recurrent artery	FJ2311.obj
FMA22807	right common interosseous artery	FJ2275.obj
FMA22812	right anterior interosseous artery	FJ2266.obj
FMA268667	right recurrent interosseous artery	FJ2297.obj
FMA22804	right posterior ulnar recurrent artery	FJ2293.obj
FMA22712	right inferior ulnar collateral artery	FJ2267.obj
FMA22707	right superior ulnar collateral artery	FJ2373.obj
FMA22678	right subscapular artery	FJ2298.obj
FMA66321	right thoracodorsal artery	FJ2305.obj
FMA23180	right circumflex scapular artery	FJ2273.obj
FMA23072	deltoid branch of right thoraco-acromial artery	FJ2282.obj
FMA23068	acromial branch of right thoraco-acromial artery	FJ2263.obj
FMA23063	pectoral branch of right thoraco-acromial artery	FJ2361.obj
FMA66563	trunk of right thoraco-acromial artery	FJ2304.obj
FMA3969	right internal thoracic artery	FJ1937.obj
FMA10692	right musculophrenic artery	FJ1969.obj
FMA3988	right superior epigastric artery	FJ1936.obj
FMA14746	right inferior phrenic artery	FJ3619.obj
FMA14746	right inferior phrenic artery	FJ3625.obj
FMA14746	right inferior phrenic artery	FJ3626.obj
FMA14746	right inferior phrenic artery	FJ3623.obj
FMA14746	right inferior phrenic artery	FJ3624.obj
FMA14746	right inferior phrenic artery	FJ3621.obj
FMA14746	right inferior phrenic artery	FJ3622.obj
FMA14746	right inferior phrenic artery	FJ3620.obj
FMA3958	right vertebral artery	FJ1725.obj
FMA50532	right anterior spinal artery	FJ1657.obj
FMA50519	right posterior inferior cerebellar artery	FJ1707.obj
FMA50519	right posterior inferior cerebellar artery	FJ1706.obj
FMA50519	right posterior inferior cerebellar artery	FJ1709.obj
FMA50519	right posterior inferior cerebellar artery	FJ1708.obj
FMA50519	right posterior inferior cerebellar artery	FJ1703.obj
FMA50519	right posterior inferior cerebellar artery	FJ1702.obj
FMA50519	right posterior inferior cerebellar artery	FJ1705.obj
FMA50519	right posterior inferior cerebellar artery	FJ1704.obj
FMA50519	right posterior inferior cerebellar artery	FJ1715.obj
FMA50519	right posterior inferior cerebellar artery	FJ1710.obj
FMA50519	right posterior inferior cerebellar artery	FJ1701.obj
