concept id	name	element file id
FMA20394	human body	FJ3278
FMA20394	human body	FJ3039
FMA20394	human body	FJ3038
FMA20394	human body	FJ3033
FMA20394	human body	FJ3275
FMA20394	human body	FJ3032
FMA20394	human body	FJ3274
FMA20394	human body	FJ3035
FMA20394	human body	FJ3277
FMA20394	human body	FJ3034
FMA20394	human body	FJ3276
FMA20394	human body	FJ3051
FMA20394	human body	FJ3293
FMA20394	human body	FJ3050
FMA20394	human body	FJ3292
FMA20394	human body	FJ3053
FMA20394	human body	FJ3295
FMA20394	human body	FJ3052
FMA20394	human body	FJ3294
FMA20394	human body	FJ3291
FMA20394	human body	FJ3290
FMA20394	human body	FJ3048
FMA20394	human body	FJ3047
FMA20394	human body	FJ3289
FMA20394	human body	FJ3049
FMA20394	human body	FJ3044
FMA20394	human body	FJ3286
FMA20394	human body	FJ3043
FMA20394	human body	FJ3285
FMA20394	human body	FJ3046
FMA20394	human body	FJ3288
FMA20394	human body	FJ3045
FMA20394	human body	FJ3287
FMA20394	human body	FJ1282
FMA20394	human body	FJ1723M
FMA20394	human body	FJ3217
FMA20394	human body	FJ3216
FMA20394	human body	FJ3219
FMA20394	human body	FJ3218
FMA20394	human body	FJ3213
FMA20394	human body	FJ3212
FMA20394	human body	FJ3215
FMA20394	human body	FJ3214
FMA20394	human body	FJ3451
FMA20394	human body	FJ2361
FMA20394	human body	FJ3450
FMA20394	human body	FJ3211
FMA20394	human body	FJ3210
FMA20394	human body	FJ3452
FMA20394	human body	FJ3471
FMA20394	human body	FJ3470
FMA20394	human body	FJ1700M
FMA20394	human body	FJ3228
FMA20394	human body	FJ3227
FMA20394	human body	FJ3469
FMA20394	human body	FJ3229
FMA20394	human body	FJ3224
FMA20394	human body	FJ3466
FMA20394	human body	FJ3223
FMA20394	human body	FJ3465
FMA20394	human body	FJ2137
FMA20394	human body	FJ3226
FMA20394	human body	FJ3468
FMA20394	human body	FJ1289
FMA20394	human body	FJ3225
FMA20394	human body	FJ3467
FMA20394	human body	FJ2373
FMA20394	human body	FJ3220
FMA20394	human body	FJ2130
FMA20394	human body	FJ1286
FMA20394	human body	FJ2133
FMA20394	human body	FJ3222
FMA20394	human body	FJ3464
FMA20394	human body	FJ1285
FMA20394	human body	FJ2374
FMA20394	human body	FJ3221
FMA20394	human body	FJ3480
FMA20394	human body	FJ3240
FMA20394	human body	FJ3482
FMA20394	human body	FJ3481
FMA20394	human body	FJ1701M
FMA20394	human body	FJ1725M
FMA20394	human body	FJ3239
FMA20394	human body	FJ1299
FMA20394	human body	FJ1726M
FMA20394	human body	FJ3235
FMA20394	human body	FJ1298
FMA20394	human body	FJ3234
FMA20394	human body	FJ3476
FMA20394	human body	FJ3237
FMA20394	human body	FJ3479
FMA20394	human body	FJ3236
FMA20394	human body	FJ1295
FMA20394	human body	FJ3231
FMA20394	human body	FJ1294
FMA20394	human body	FJ3230
FMA20394	human body	FJ3472
FMA20394	human body	FJ1297
FMA20394	human body	FJ2386
FMA20394	human body	FJ3233
FMA20394	human body	FJ2143
FMA20394	human body	FJ3232
FMA20394	human body	FJ3251
FMA20394	human body	FJ3250
FMA20394	human body	FJ1702M
FMA20394	human body	FJ3008
FMA20394	human body	FJ3007
FMA20394	human body	FJ3249
FMA20394	human body	FJ3009
FMA20394	human body	FJ3004
FMA20394	human body	FJ3246
FMA20394	human body	FJ1727M
FMA20394	human body	FJ3003
FMA20394	human body	FJ3245
FMA20394	human body	FJ2159
FMA20394	human body	FJ3006
FMA20394	human body	FJ3248
FMA20394	human body	FJ2158
FMA20394	human body	FJ3005
FMA20394	human body	FJ3247
FMA20394	human body	FJ3000
FMA20394	human body	FJ3242
FMA20394	human body	FJ3484
FMA20394	human body	FJ3241
FMA20394	human body	FJ3483
FMA20394	human body	FJ3002
FMA20394	human body	FJ3244
FMA20394	human body	FJ3001
FMA20394	human body	FJ3243
FMA20394	human body	FJ1703M
FMA20394	human body	FJ2568
FMA20394	human body	FJ2567
FMA20394	human body	FJ3414
FMA20394	human body	FJ3659
FMA20394	human body	FJ3417
FMA20394	human body	FJ3656
FMA20394	human body	FJ2569
FMA20394	human body	FJ3416
FMA20394	human body	FJ1704M
FMA20394	human body	FJ2564
FMA20394	human body	FJ3411
FMA20394	human body	FJ3654
FMA20394	human body	FJ2563
FMA20394	human body	FJ3410
FMA20394	human body	FJ2566
FMA20394	human body	FJ3413
FMA20394	human body	FJ3652
FMA20394	human body	FJ2565
FMA20394	human body	FJ3653
FMA20394	human body	FJ1471
FMA20394	human body	FJ3650
FMA20394	human body	FJ3651
FMA20394	human body	FJ2562
FMA20394	human body	FJ2580
FMA20394	human body	FJ2579
FMA20394	human body	FJ2578
FMA20394	human body	FJ3427
FMA20394	human body	FJ2575
FMA20394	human body	FJ1485
FMA20394	human body	FJ1705M
FMA20394	human body	FJ2574
FMA20394	human body	FJ3421
FMA20394	human body	FJ2577
FMA20394	human body	FJ2576
FMA20394	human body	FJ2571
FMA20394	human body	FJ2570
FMA20394	human body	FJ2573
FMA20394	human body	FJ3420
FMA20394	human body	FJ2330
FMA20394	human body	FJ2572
FMA20394	human body	FJ2591
FMA20394	human body	FJ2590
FMA20394	human body	FJ3437
FMA20394	human body	FJ2589
FMA20394	human body	FJ3439
FMA20394	human body	FJ2586
FMA20394	human body	FJ2585
FMA20394	human body	FJ3432
FMA20394	human body	FJ1706M
FMA20394	human body	FJ2588
FMA20394	human body	FJ2587
FMA20394	human body	FJ3434
FMA20394	human body	FJ2582
FMA20394	human body	FJ2581
FMA20394	human body	FJ1253
FMA20394	human body	FJ2584
FMA20394	human body	FJ1252
FMA20394	human body	FJ2341
FMA20394	human body	FJ2583
FMA20394	human body	FJ3209
